price,address,suburb,bedrooms,bathrooms,parking,property_type,link,price_numeric
"Auction guide $1,100,000","959 Henry Lawson Drive, PADSTOW HEIGHTS NSW 2211",PADSTOW HEIGHTS,3,2,1,House,https://www.domain.com.au/959-henry-lawson-drive-padstow-heights-nsw-2211-2020100858,1100000.0
"$1,680,000 - $1,730,000","5A Lillian Crescent, REVESBY NSW 2212",REVESBY,3,4,2,Semi-detached,https://www.domain.com.au/5a-lillian-crescent-revesby-nsw-2212-2020057560,1680000.0
Auction: Saturday 2 August At 1pm,"20 Hillcrest Avenue, GREENACRE NSW 2190",GREENACRE,4,2,2,House,https://www.domain.com.au/20-hillcrest-avenue-greenacre-nsw-2190-2020110234,2000000.0
Contact Agent,"181 Juno Parade, GREENACRE NSW 2190",GREENACRE,3,2,2,House,https://www.domain.com.au/181-juno-parade-greenacre-nsw-2190-2020109800,
Contact Agent,"16B Glendale Avenue, PADSTOW NSW 2211",PADSTOW,5,4,2,Semi-detached,https://www.domain.com.au/16b-glendale-avenue-padstow-nsw-2211-2019996793,
Offers Invited,"6/66 Victoria Street, REVESBY NSW 2212",REVESBY,3,2,2,Villa,https://www.domain.com.au/6-66-victoria-street-revesby-nsw-2212-2020103231,
Price on request,"15 Karuah Street, GREENACRE NSW 2190",GREENACRE,6,6,5,House,https://www.domain.com.au/15-karuah-street-greenacre-nsw-2190-2020105365,
"$885,000","49/30 Werona Avenue, PADSTOW NSW 2211",PADSTOW,2,1,1,Villa,https://www.domain.com.au/49-30-werona-avenue-padstow-nsw-2211-2020103808,885000.0
By Negotiation | Michael Sabongi,"11/7 Myers Street, ROSELANDS NSW 2196",ROSELANDS,2,1,1,Apartment / Unit / Flat,https://www.domain.com.au/11-7-myers-street-roselands-nsw-2196-2020103548,
"Guide $660,000 - $699,000","307/225 Hume Highway, GREENACRE NSW 2190",GREENACRE,2,2,1,Apartment / Unit / Flat,https://www.domain.com.au/307-225-hume-highway-greenacre-nsw-2190-2020102914,660000.0
"Auction guide $950,000","30 Edgar Street, YAGOONA NSW 2199",YAGOONA,3,1,3,House,https://www.domain.com.au/30-edgar-street-yagoona-nsw-2199-2020099086,950000.0
Contact Agent,"57/20 Matthews Street, PUNCHBOWL NSW 2196",PUNCHBOWL,2,2,1,Apartment / Unit / Flat,https://www.domain.com.au/57-20-matthews-street-punchbowl-nsw-2196-2020098817,
